;ncm;descricao;alq_ipi;aliq_ipi
8420;4817.10.00;- Envelopes;5.0;5.0
8421;4817.20.00;- Aerogramas, bilhetes-postais não ilustrados e cartões para correspondência;5.0;5.0
8422;4817.30.00;"- Caixas, sacos e semelhantes, de papel ou cartão, que contenham um sortido de artigospara correspondência";5.0;5.0
8424;48.18;"Papel higiênico e papéis semelhantes, pasta (ouate) de celulose ou mantas de fibrasde celulose, do tipo utilizado para fins domésticos ou sanitários, em rolos de larguranão superior a 36 cm, ou cortados em formas próprias; lenços, incluindo os dedesmaquiar,toalhasdemão,toalhasdemesa,guardanapos,lençóiseartigossemelhantes, de uso doméstico, de toucador, higiênicos ou hospitalares, vestuário eseus acessórios, de pasta de papel, papel, pasta (ouate) de celulose ou de mantas defibras de celulose.";;
8425;4818.10.00;- Papel higiênico;0.0;0.0
8426;4818.20.00;- Lenços, incluindo os de desmaquiar, e toalhas de mão;5.0;5.0
8427;4818.30.00;- Toalhas de mesa e guardanapos;5.0;5.0
8428;4818.50.00;- Vestuário e seus acessórios;5.0;5.0
8429;4818.90;- Outros;;
8430;4818.90.10;Almofadas absorventes do tipo utilizado em embalagens de produtos alimentícios;5.0;5.0
8431;4818.90.90;Outros;5.0;5.0
8433;48.19;"Caixas, sacos, bolsas, cartuchos e outras embalagens, de papel, cartão, pasta (ouate)de celulose ou de mantas de fibras de celulose; cartonagens para escritórios, lojas eestabelecimentos semelhantes.";;
8434;4819.10.00;- Caixas de papel ou cartão, ondulados (canelados*);15.0;15.0
8435;4819.20.00;- Caixas e cartonagens, dobráveis, de papel ou cartão, não ondulados (não canelados*);15.0;15.0
8436;4819.30.00;- Sacos cuja base tenha largura igual ou superior a 40 cm;15.0;15.0
8437;4819.40.00;"- Outros sacos; bolsas e cartuchos";15.0;15.0
8438;4819.50.00;- Outras embalagens, incluindo as capas para discos;15.0;15.0
8439;4819.60.00;- Cartonagens para escritórios, lojas e estabelecimentos semelhantes;15.0;15.0
8441;48.20;"Livros de registro e de contabilidade, blocos de notas, de encomendas, de recibos,de apontamentos, de papel para cartas, agendas e artigos semelhantes, cadernos,pastas para documentos, classificadores, capas para encadernação (de folhas soltasou outras), capas de processos e outros artigos escolares, de escritório ou depapelaria, incluindo os formulários em blocos tipo manifold, mesmo com folhasintercaladas de papel-carbono (papel químico), de papel ou cartão; álbuns paraamostras ou para coleções e capas para livros, de papel ou cartão.";;
8442;4820.10.00;"- Livros de registro e de contabilidade, blocos de notas, de encomendas, de recibos, deapontamentos, de papel para cartas, agendas e artigos semelhantes";15.0;15.0
8443;4820.20.00;- Cadernos;0.0;0.0
8444;4820.30.00;"- Classificadores, capas para encadernação (exceto as capas para livros) e capas deprocessos";15.0;15.0
8445;4820.40.00;"- Formulários em blocos tipo manifold, mesmo com folhas intercaladas de papel-carbono(papel químico)";5.0;5.0
8446;4820.50.00;- Álbuns para amostras ou para coleções;15.0;15.0
8447;4820.90.00;- Outros;15.0;15.0
8449;48.21;Etiquetas de qualquer espécie, de papel ou cartão, impressas ou não.;;
8450;4821.10.00;- Impressas;0.0;0.0
8451;4821.90.00;- Outras;0.0;0.0
8453;48.22;"Carretéis, bobinas, canelas e suportes semelhantes, de pasta de papel, papel oucartão, mesmo perfurados ou endurecidos.";;
8454;4822.10.00;- Do tipo utilizado para enrolamento de fios têxteis;10.0;10.0
8455;4822.90.00;- Outros;10.0;10.0
8457;48.23;"Outros papéis, cartões, pasta (ouate) de celulose e mantas de fibras de celulose,cortados em forma própria; outras obras de pasta de papel, papel, cartão, pasta(ouate) de celulose ou de mantas de fibras de celulose.";;
8458;4823.20;- Papel-filtro e cartão-filtro;;
8459;4823.20.10;"De peso superior a 15 g/m2, mas não superior a 25 g/m2, com um conteúdo de fibrassintéticas termossoldáveis igual ou superior a 20 %, mas não superior a 30 %, em peso,do conteúdo total de fibras";15.0;15.0
8460;4823.20.9;Outros;;
8461;4823.20.91;Em tiras ou rolos de largura superior a 15 cm, mas não superior a 36 cm;15.0;15.0
8462;4823.20.99;Outros;15.0;15.0
8463;4823.40.00;- Papéis-diagrama para aparelhos registradores, em bobinas, em folhas ou em discos;15.0;15.0
8464;4823.6;"- Bandejas, travessas, pratos, xícaras (chávenas), taças, copos e artigos semelhantes, depapel ou cartão:";;
8465;4823.61.00;--De bambu;15.0;15.0
8466;4823.69.00;--Outros;15.0;15.0
8467;4823.70.00;- Artigos moldados ou prensados, de pasta de papel;15.0;15.0
8468;4823.90;- Outros;;
8469;4823.90.10;Cartões perfurados para mecanismos Jacquard;15.0;15.0
8470;4823.90.20;"De rigidez dielétrica igual ou superior a 600 V (método ASTM D 202 ou equivalente) ede peso inferior ou igual a 60 g/m2";15.0;15.0
8471;4823.90.9;Outros;;
8472;4823.90.91;Em tiras ou rolos de largura superior a 15 cm, mas não superior a 36 cm;15.0;15.0
8473;4823.90.99;Outros;15.0;15.0
8474;49.01;Livros, brochuras e impressos semelhantes, mesmo em folhas soltas.;;
8475;4901.10.00;- Em folhas soltas, mesmo dobradas;NT;NT
8476;4901.9;- Outros:;;
8477;4901.91.00;--Dicionários e enciclopédias, mesmo em fascículos;NT;NT
8478;4901.99.00;--Outros;NT;NT
8480;49.02;"Jornais e publicações periódicas, impressos, mesmo ilustrados ou que contenhampublicidade.";;
8481;4902.10.00;- Que se publiquem pelo menos quatro vezes por semana;NT;NT
8483;4902.90.00;- Outros;NT;NT
8486;4903.00.00;Álbuns ou livros de ilustrações e álbuns para desenhar ou colorir, para crianças.;NT;NT
8488;4904.00.00;Música manuscrita ou impressa, ilustrada ou não, mesmo encadernada.;NT;NT
8490;49.05;"Obras cartográficas de qualquer espécie, incluindo as cartas murais, as plantastopográficas e os globos, impressos.";;
8491;4905.10.00;- Globos;0;0.0
8492;4905.9;- Outros:;;
8493;4905.91.00;--Sob a forma de livros ou brochuras;0;0.0
8494;4905.99.00;--Outros;0;0.0
8496;4906.00.00;"Planos, plantas e desenhos, de arquitetura, de engenharia e outros planos e desenhosindustriais, comerciais, topográficos ou semelhantes, originais, feitos à mão; textosmanuscritos; reproduções fotográficas em papel sensibilizado e cópias a papel-carbono (papel químico) dos planos, plantas, desenhos ou textos acima referidos.";NT;NT
8498;4907.00;"Selos postais, fiscais e semelhantes, não obliterados, tendo ou destinando-se a tercurso legal no país em que têm, ou terão, um valor facial reconhecido; papel selado;notas; cheques; certificados de ações ou de obrigações e títulos semelhantes.";;
8499;4907.00.10;Papéis-moeda;0;0.0
8500;4907.00.20;Cheques de viagem;0;0.0
8501;4907.00.30;Títulos de ações ou de obrigações e títulos semelhantes, convalidados e firmados;0;0.0
8502;4907.00.90;Outros;0;0.0
8504;49.08;Decalcomanias de qualquer espécie.;;
8505;4908.10.00;- Decalcomanias vitrificáveis;0;0.0
8506;4908.90.00;- Outras;0;0.0
8508;4909.00.00;"Cartões-postaisimpressosouilustrados;cartõesimpressoscomvotosoumensagenspessoais,mesmoilustrados,mesmocomenvelopes,guarniçõesouaplicações.";0;0.0
8510;4910.00.00;"Calendários de qualquer espécie, impressos, incluindo os blocos-calendários paradesfolhar.";10;10.0
8512;49.11;Outros impressos, incluindo as estampas, gravuras e fotografias.;;
8513;4911.10;- Impressos publicitários, catálogos comerciais e semelhantes;;
8514;4911.10.10;"Quecontenhaminformaçõesrelativasaofuncionamento,manutenção,reparoouutilização de máquinas, aparelhos, veículos e outras mercadorias de origem extrazona";0;0.0
8515;4911.10.90;Outros;0;0.0
8516;4911.9;- Outros:;;
8517;4911.91.00;--Estampas, gravuras e fotografias;0;0.0
8519;4911.99.00;--Outros;0;0.0
8521;5001.00.00;Casulos de bicho-da-seda próprios para dobar.;NT;NT
8523;5002.00.00;Seda crua (não fiada).;NT;NT
8525;5003.00;"Desperdícios de seda (incluindo os casulos de bicho-da-seda impróprios para dobar,os desperdícios de fios e os fiapos).";;
8526;5003.00.10;Não cardados nem penteados;NT;NT
8527;5003.00.90;Outros;NT;NT
8529;5004.00.00;"Fios de seda (exceto fios de desperdícios de seda) não acondicionados para venda aretalho.";0;0.0
8531;5005.00.00;Fios de desperdícios de seda, não acondicionados para venda a retalho.;0;0.0
8533;5006.00.00;"Fios de seda ou de desperdícios de seda, acondicionados para venda a retalho; pelode Messina (crina de Florença).";0;0.0
8535;50.07;Tecidos de seda ou de desperdícios de seda.;;
8536;5007.10;- Tecidos de bourrette;;
8537;5007.10.10;Estampados, tintos ou de fios de diversas cores;0;0.0
8538;5007.10.90;Outros;0;0.0
8539;5007.20;"- Outros tecidos que contenham pelo menos 85 %, em peso, de seda ou de desperdícios deseda, exceto bourrette";;
8540;5007.20.10;Estampados, tintos ou de fios de diversas cores;0;0.0
8541;5007.20.90;Outros;0;0.0
8542;5007.90.00;- Outros tecidos;0;0.0
8543;51.01;Lã não cardada nem penteada.;;
8544;5101.1;- Lã suja, incluindo a lã lavada a dorso:;;
8545;5101.11;--Lã de tosquia;;
8546;5101.11.10;"De finura igual ou superior 22,05 micrômetros (mícrons), mas inferior ou igual a 32,6micrômetros (mícrons)";NT;NT
8547;5101.11.90;Outra;NT;NT
8548;5101.19.00;--Outra;NT;NT
8549;5101.2;- Desengordurada, não carbonizada:;;
8550;5101.21.00;--Lã de tosquia;NT;NT
8551;5101.29.00;--Outra;NT;NT
8552;5101.30.00;- Carbonizada;NT;NT
8554;51.02;Pelos finos ou grosseiros, não cardados nem penteados.;;
8555;5102.1;- Pelos finos:;;
8556;5102.11.00;--De cabra de Caxemira;NT;NT
8557;5102.19.00;--Outros;NT;NT
8558;5102.20.00;- Pelos grosseiros;NT;NT
8560;51.03;"Desperdícios de lã ou de pelos finos ou grosseiros, incluindo os desperdícios de fiose excluindo os fiapos.";;
8561;5103.10.00;- Desperdícios da penteação de lã ou de pelos finos;NT;NT
8562;5103.20.00;- Outros desperdícios de lã ou de pelos finos;NT;NT
8563;5103.30.00;- Desperdícios de pelos grosseiros;NT;NT
8565;5104.00.00;Fiapos de lã ou de pelos finos ou grosseiros.;NT;NT
8567;51.05;"Lã, pelos finos ou grosseiros, cardados ou penteados (incluindo a “lã penteada agranel”).";;
8568;5105.10.00;- Lã cardada;0;0.0
8569;5105.2;- Lã penteada:;;
8570;5105.21.00;--“Lã penteada a granel”;0;0.0
8571;5105.29;--Outra;;
8572;5105.29.10;Tops;0;0.0
8573;5105.29.9;Outras;;
8574;5105.29.91;De finura inferior a 22,5 micrômetros (mícrons);0;0.0
8575;5105.29.99;Outras;0;0.0
8576;5105.3;- Pelos finos, cardados ou penteados:;;
8577;5105.31.00;--De cabra de Caxemira;0;0.0
8578;5105.39.00;--Outros;0;0.0
8579;5105.40.00;- Pelos grosseiros, cardados ou penteados;0;0.0
8581;51.06;Fios de lã cardada, não acondicionados para venda a retalho.;;
8582;5106.10.00;- Que contenham pelo menos 85 %, em peso, de lã;0;0.0
8583;5106.20.00;- Que contenham menos de 85 %, em peso, de lã;0;0.0
8585;51.07;Fios de lã penteada, não acondicionados para venda a retalho.;;
8586;5107.10;- Que contenham pelo menos 85 %, em peso, de lã;;
8587;5107.10.1;Retorcidos ou retorcidos múltiplos;;
8588;5107.10.11;De dois cabos, de título inferior ou igual a 184,58 decitex por cabo;0.0;0.0
8589;5107.10.19;Outros;0.0;0.0
8590;5107.10.90;Outros;0.0;0.0
8591;5107.20.00;- Que contenham menos de 85 %, em peso, de lã;0.0;0.0
8593;51.08;"Fios de pelos finos, cardados ou penteados, não acondicionados para venda aretalho.";;
8594;5108.10.00;- Cardados;0.0;0.0
8595;5108.20.00;- Penteados;0.0;0.0
8597;51.09;Fios de lã ou de pelos finos, acondicionados para venda a retalho.;;
8598;5109.10.00;- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos;0.0;0.0
8599;5109.90.00;- Outros;0.0;0.0
8601;5110.00.00;"Fios de pelos grosseiros ou de crina (incluindo os fios de crina revestidos porenrolamento), mesmo acondicionados para venda a retalho.";0.0;0.0
8603;51.11;Tecidos de lã cardada ou de pelos finos cardados.;;
8604;5111.1;- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos:;;
8605;5111.11;--De peso não superior a 300 g/m2;;
8606;5111.11.10;De lã;0.0;0.0
8607;5111.11.20;De pelos finos;0.0;0.0
8608;5111.19.00;--Outros;0.0;0.0
8609;5111.20.00;- Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais;0.0;0.0
8610;5111.30;"- Outros,combinados,principalouunicamente,comfibrassintéticasouartificiaisdescontínuas";;
8611;5111.30.10;"De lã, feltrados, com trama combinada exclusivamente com fibras sintéticas e urdiduraexclusivamentedealgodão, depesoigualou superior a600 g/m2, própriosparafabricação de bolas de tênis";0.0;0.0
8612;5111.30.90;Outros;0.0;0.0
8613;5111.90.00;- Outros;0.0;0.0
8615;51.12;Tecidos de lã penteada ou de pelos finos penteados.;;
8616;5112.1;- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos:;;
8617;5112.11.00;--De peso não superior a 200 g/m2;0.0;0.0
8618;5112.19;--Outros;;
8619;5112.19.10;De lã;0.0;0.0
8620;5112.19.20;De pelos finos;0.0;0.0
8621;5112.20;- Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais;;
8622;5112.20.10;De lã;0.0;0.0
8623;5112.20.20;De pelos finos;0.0;0.0
8624;5112.30;"- Outros,combinados,principalouunicamente,comfibrassintéticasouartificiaisdescontínuas";;
8625;5112.30.10;De lã;0.0;0.0
8626;5112.30.20;De pelos finos;0.0;0.0
8627;5112.90.00;- Outros;0.0;0.0
8629;5113.00;Tecidos de pelos grosseiros ou de crina.;;
8630;5113.00.1;De pelos grosseiros;;
8631;5113.00.11;Que contenham pelo menos 85 %, em peso, de pelos grosseiros;0.0;0.0
8632;5113.00.12;"Que contenham menos de 85 %, em peso, de pelos grosseiros e que contenhamalgodão";0.0;0.0
8633;5113.00.13;"Que contenham menos de 85 %, em peso, de pelos grosseiros e que não contenhamalgodão";0.0;0.0
8634;5113.00.20;De crina;0.0;0.0
8635;5201.00;Algodão não cardado nem penteado.;;
8636;5201.00.10;Não debulhado;NT;NT
8637;5201.00.20;Simplesmente debulhado;NT;NT
8638;5201.00.90;Outros;NT;NT
8640;52.02;Desperdícios de algodão (incluindo os desperdícios de fios e os fiapos).;;
8641;5202.10.00;- Desperdícios de fios;NT;NT
8642;5202.9;- Outros:;;
8643;5202.91.00;--Fiapos;NT;NT
8644;5202.99.00;--Outros;NT;NT
8646;5203.00.00;Algodão cardado ou penteado.;0;0.0
8648;52.04;Linhas para costurar, de algodão, mesmo acondicionadas para venda a retalho.;;
8649;5204.1;- Não acondicionadas para venda a retalho:;;
8650;5204.11;--Que contenham pelo menos 85 %, em peso, de algodão;;
8651;5204.11.1;De algodão cru, de título inferior ou igual a 5.000 decitex por fio simples;;
8652;5204.11.11;De dois cabos;0;0.0
8653;5204.11.12;De três ou mais cabos;0;0.0
8654;5204.11.20;De algodão cru, de título superior a 5.000 decitex por fio simples;0;0.0
8655;5204.11.3;"De algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fiosimples";;
8656;5204.11.31;De dois cabos;0;0.0
8657;5204.11.32;De três ou mais cabos;0;0.0
8658;5204.11.40;De algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples;0;0.0
8659;5204.19;--Outras;;
8660;5204.19.1;De algodão cru, de título inferior ou igual a 5.000 decitex por fio simples;;
8661;5204.19.11;De dois cabos;0;0.0
8662;5204.19.12;De três ou mais cabos;0;0.0
8663;5204.19.20;De algodão cru, de título superior a 5.000 decitex por fio simples;0;0.0
8664;5204.19.3;"De algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fiosimples";;
8665;5204.19.31;De dois cabos;0;0.0
8666;5204.19.32;De três ou mais cabos;0;0.0
8667;5204.19.40;De algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples;0;0.0
8668;5204.20.00;- Acondicionadas para venda a retalho;0;0.0
8670;52.05;"Fios de algodão (exceto linhas para costurar) que contenham pelo menos 85 %, empeso, de algodão, não acondicionados para venda a retalho.";;
8671;5205.1;- Fios simples, de fibras não penteadas:;;
8672;5205.11.00;--De título igual ou superior a 714,29 decitex (número métrico não superior a 14);0;0.0
8673;5205.12.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métricosuperior a 14, mas não superior a 43)";0;0.0
8674;5205.13;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métricosuperior a 43, mas não superior a 52)";;
8675;5205.13.10;Crus;0;0.0
8676;5205.13.90;Outros;0;0.0
8677;5205.14.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superiora 52, mas não superior a 80)";0;0.0
8678;5205.15.00;--De título inferior a 125 decitex (número métrico superior a 80);0;0.0
8679;5205.2;- Fios simples, de fibras penteadas:;;
8680;5205.21.00;--De título igual ou superior a 714,29 decitex (número métrico não superior a 14);0.0;0.0
8681;5205.22.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métricosuperior a 14, mas não superior a 43)";0.0;0.0
8682;5205.23;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métricosuperior a 43, mas não superior a 52)";;
8683;5205.23.10;Crus;0.0;0.0
8684;5205.23.90;Outros;0.0;0.0
8685;5205.24.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superiora 52, mas não superior a 80)";0.0;0.0
8686;5205.26.00;"--De título inferior a 125 decitex, mas não inferior a 106,38 decitex (número métrico superiora 80, mas não superior a 94)";0.0;0.0
8687;5205.27.00;"--De título inferior a 106,38 decitex, mas não inferior a 83,33 decitex (número métricosuperior a 94, mas não superior a 120)";0.0;0.0
8688;5205.28.00;--De título inferior a 83,33 decitex (número métrico superior a 120);0.0;0.0
8689;5205.3;- Fios retorcidos ou retorcidos múltiplos, de fibras não penteadas:;;
8690;5205.31.00;"--De título igual ou superior a 714,29 decitex por fio simples (número métrico não superiora 14, por fio simples)";0.0;0.0
8691;5205.32.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples(número métrico superior a 14, mas não superior a 43, por fio simples)";0.0;0.0
8692;5205.33.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples(número métrico superior a 43, mas não superior a 52, por fio simples)";0.0;0.0
8693;5205.34.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (númerométrico superior a 52, mas não superior a 80, por fio simples)";0.0;0.0
8694;5205.35.00;"--De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fiosimples)";0.0;0.0
8695;5205.4;- Fios retorcidos ou retorcidos múltiplos, de fibras penteadas:;;
8696;5205.41.00;"--De título igual ou superior a 714,29 decitex por fio simples (número métrico não superiora 14, por fio simples)";0.0;0.0
8697;5205.42.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples(número métrico superior a 14, mas não superior a 43, por fio simples)";0.0;0.0
8698;5205.43.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples(número métrico superior a 43, mas não superior a 52, por fio simples)";0.0;0.0
8699;5205.44.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (númerométrico superior a 52, mas não superior a 80, por fio simples)";0.0;0.0
8700;5205.46.00;"--De título inferior a 125 decitex, mas não inferior a 106,38 decitex por fio simples (númerométrico superior a 80, mas não superior a 94, por fio simples)";0.0;0.0
8701;5205.47.00;"--De título inferior a 106,38 decitex, mas não inferior a 83,33 decitex por fio simples (númerométrico superior a 94, mas não superior a 120, por fio simples)";0.0;0.0
8702;5205.48.00;"--De título inferior a 83,33 decitex por fio simples (número métrico superior a 120, por fiosimples)";0.0;0.0
8704;52.06;"Fios de algodão (exceto linhas para costurar) que contenham menos de 85 %, empeso, de algodão, não acondicionados para venda a retalho.";;
8705;5206.1;- Fios simples, de fibras não penteadas:;;
8706;5206.11.00;--De título igual ou superior a 714,29 decitex (número métrico não superior a 14);0.0;0.0
8707;5206.12.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métricosuperior a 14, mas não superior a 43)";0.0;0.0
8708;5206.13.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métricosuperior a 43, mas não superior a 52)";0.0;0.0
8709;5206.14.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superiora 52, mas não superior a 80)";0.0;0.0
8710;5206.15.00;--De título inferior a 125 decitex (número métrico superior a 80);0.0;0.0
8711;5206.2;- Fios simples, de fibras penteadas:;;
8712;5206.21.00;--De título igual ou superior a 714,29 decitex (número métrico não superior a 14);0.0;0.0
8713;5206.22.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métricosuperior a 14, mas não superior a 43)";0.0;0.0
8714;5206.23.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métricosuperior a 43, mas não superior a 52)";0.0;0.0
8715;5206.24.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superiora 52, mas não superior a 80)";0.0;0.0
8716;5206.25.00;--De título inferior a 125 decitex (número métrico superior a 80);0.0;0.0
8717;5206.3;- Fios retorcidos ou retorcidos múltiplos, de fibras não penteadas:;;
8718;5206.31.00;"--De título igual ou superior a 714,29 decitex por fio simples (número métrico não superiora 14, por fio simples)";0.0;0.0
8719;5206.32.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples(número métrico superior a 14, mas não superior a 43, por fio simples)";0.0;0.0
8720;5206.33.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples(número métrico superior a 43, mas não superior a 52, por fio simples)";0.0;0.0
8721;5206.34.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (númerométrico superior a 52, mas não superior a 80, por fio simples)";0.0;0.0
8722;5206.35.00;"--De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fiosimples)";0.0;0.0
8723;5206.4;- Fios retorcidos ou retorcidos múltiplos, de fibras penteadas:;;
8724;5206.41.00;"--De título igual ou superior a 714,29 decitex por fio simples (número métrico não superiora 14, por fio simples)";0.0;0.0
8725;5206.42.00;"--De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples(número métrico superior a 14, mas não superior a 43, por fio simples)";0.0;0.0
8726;5206.43.00;"--De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples(número métrico superior a 43, mas não superior a 52, por fio simples)";0.0;0.0
8727;5206.44.00;"--De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (númerométrico superior a 52, mas não superior a 80, por fio simples)";0.0;0.0
8728;5206.45.00;"--De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fiosimples)";0.0;0.0
8730;52.07;Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho.;;
8731;5207.10.00;- Que contenham pelo menos 85 %, em peso, de algodão;0.0;0.0
8732;5207.90.00;- Outros;0.0;0.0
8734;52.08;"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, de pesonão superior a 200 g/m2.";;
8735;5208.1;- Crus:;;
8736;5208.11.00;--Em ponto de tafetá, de peso não superior a 100 g/m2;0.0;0.0
8737;5208.12.00;--Em ponto de tafetá, de peso superior a 100 g/m2;0.0;0.0
8738;5208.13.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8739;5208.19.00;--Outros tecidos;0.0;0.0
8740;5208.2;- Branqueados:;;
8741;5208.21.00;--Em ponto de tafetá, de peso não superior a 100 g/m2;0.0;0.0
8742;5208.22.00;--Em ponto de tafetá, de peso superior a 100 g/m2;0.0;0.0
8743;5208.23.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8744;5208.29.00;--Outros tecidos;0.0;0.0
8745;5208.3;- Tintos:;;
8746;5208.31.00;--Em ponto de tafetá, de peso não superior a 100 g/m2;0.0;0.0
8747;5208.32.00;--Em ponto de tafetá, de peso superior a 100 g/m2;0.0;0.0
8748;5208.33.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8749;5208.39.00;--Outros tecidos;0.0;0.0
8750;5208.4;- De fios de diversas cores:;;
8751;5208.41.00;--Em ponto de tafetá, de peso não superior a 100 g/m2;0.0;0.0
8752;5208.42.00;--Em ponto de tafetá, de peso superior a 100 g/m2;0.0;0.0
8753;5208.43.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8754;5208.49.00;--Outros tecidos;0.0;0.0
8755;5208.5;- Estampados:;;
8756;5208.51.00;--Em ponto de tafetá, de peso não superior a 100 g/m2;0.0;0.0
8757;5208.52.00;--Em ponto de tafetá, de peso superior a 100 g/m2;0.0;0.0
8758;5208.59;--Outros tecidos;;
8759;5208.59.10;Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8760;5208.59.90;Outros;0.0;0.0
8762;52.09;"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, de pesosuperior a 200 g/m2.";;
8763;5209.1;- Crus:;;
8764;5209.11.00;--Em ponto de tafetá;0.0;0.0
8765;5209.12.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8766;5209.19.00;--Outros tecidos;0.0;0.0
8767;5209.2;- Branqueados:;;
8768;5209.21.00;--Em ponto de tafetá;0.0;0.0
8769;5209.22.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8770;5209.29.00;--Outros tecidos;0.0;0.0
8771;5209.3;- Tintos:;;
8772;5209.31.00;--Em ponto de tafetá;0.0;0.0
8773;5209.32.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8774;5209.39.00;--Outros tecidos;0.0;0.0
8775;5209.4;- De fios de diversas cores:;;
8776;5209.41.00;--Em ponto de tafetá;0.0;0.0
8777;5209.42;--Tecidos denominados Denim;;
8778;5209.42.10;Com fios tintos em indigo blue segundo Color Index 73.000;0.0;0.0
8779;5209.42.90;Outros;0.0;0.0
8780;5209.43.00;"--Outros tecidos em ponto sarjado, incluindo o diagonal, cuja relação de textura não sejasuperior a 4";0.0;0.0
8781;5209.49.00;--Outros tecidos;0.0;0.0
8782;5209.5;- Estampados:;;
8783;5209.51.00;--Em ponto de tafetá;0.0;0.0
8784;5209.52.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8785;5209.59.00;--Outros tecidos;0.0;0.0
8787;52.10;"Tecidosdealgodãoquecontenhammenosde85 %,empeso,dealgodão,combinados, principal ou unicamente, com fibras sintéticas ou artificiais, de peso nãosuperior a 200 g/m2.";;
8788;5210.1;- Crus:;;
8789;5210.11.00;--Em ponto de tafetá;0.0;0.0
8790;5210.19;--Outros tecidos;;
8791;5210.19.10;Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8792;5210.19.90;Outros;0.0;0.0
8793;5210.2;- Branqueados:;;
8794;5210.21.00;--Em ponto de tafetá;0.0;0.0
8795;5210.29;--Outros tecidos;;
8796;5210.29.10;Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8797;5210.29.90;Outros;0.0;0.0
8798;5210.3;- Tintos:;;
8799;5210.31.00;--Em ponto de tafetá;0.0;0.0
8800;5210.32.00;--Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4;0.0;0.0
8801;5210.39.00;--Outros tecidos;0.0;0.0
8802;5210.4;- De fios de diversas cores:;;
8803;5210.41.00;--Em ponto de tafetá;0.0;0.0
8804;5210.49;--Outros tecidos;;
